Pièce		Occurrence	Traduction anglaise	Type	Zone géographique	Continent	Coordonnées	ID	Remarque	Auteur	Titre	Genre	Représentation	Décennie	Publication	Décennie			
BOYER_AMOURSJUPITERSEMELE	5	Thèbes	Thebes	Ville	Grèce	Europe	38.319156, 23.317577	https://pleiades.stoa.org/places/541138		Boyer, Claude	Les Amours de Jupiter et Sémélé	Tragédie	1666	60	1666	60	http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml	https://catalogue.bnf.fr/ark:/12148/cb30152109f	https://gallica.bnf.fr/ark:/12148/bpt6k83827k
																			
BOYER_ARISTODEME	8	Sparte	Sparta	Ville	Grèce	Europe	37.077905, 22.4272985	https://pleiades.stoa.org/places/570685		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME	6	Messénie	Messinia	Région	Grèce	Europe	37.25, 21.83333	http://www.geonames.org/257149		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME	1	mont Ithomé	Ithome	Montagne	Grèce	Europe	37.179299, 21.92169	https://pleiades.stoa.org/places/570318		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME	20	Messène	Messene	Ville	Grèce	Europe	37.179299, 21.92169	https://pleiades.stoa.org/places/570479		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME	2	Haly	Kızılırmak	Fleuve	Anatolie	Asie	41.6767598, 35.9295291	https://pleiades.stoa.org/places/857148		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
BOYER_ARISTODEME	1	Cocyte	Cocytus	Fleuve	Enfers	Europe		https://en.wikipedia.org/wiki/Cocytus		Boyer, Claude	Aristodème	Tragédie	1647	40	1648	40	http://dramacode.github.io/tcp5/boyer_aristodeme.xml	https://catalogue.bnf.fr/ark:/12148/cb30152112b	https://gallica.bnf.fr/ark:/12148/bpt6k71607q
																			
BOYER_ARTAXERCE	6	Perse	Persia	Pays	Orient	Asie	32, 53	http://www.geonames.org/130758		Boyer, Claude	Artaxerce	Tragédie	1682	80	1683	80	http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml	https://catalogue.bnf.fr/ark:/12148/cb30152113p	
